"[run number]","r","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"6","0","1","55","deterministic","7699","101","89.99999999999999","11.418068589804179"
"5","0","1","55","deterministic","9649","101","90.00000000000003","12.479004214439339"
"4","0","1","50","deterministic","11279","101","90","3.7071622123629027"
"3","0","1","50","deterministic","10508","101","89.99999999999999","10.739145613970429"
"2","0","1","50","deterministic","11004","101","90","5.724182877483323"
"7","0","1","55","deterministic","8109","101","89.99999999999999","8.338506119762215"
"8","0","1","55","deterministic","7750","101","89.99999999999999","9.067002414754882"
"10","0","1","60","deterministic","8059","101","89.99999999999999","11.64667882670142"
"11","0","1","60","deterministic","6795","101","90","6.9630809315513575"
"1","0","1","50","deterministic","11657","101","89.99999999999997","6.894579406370859"
"9","0","1","60","deterministic","8934","101","90.00000000000001","8.794441050564958"
"12","0","1","60","deterministic","8981","101","90.00000000000001","2.4195350972164"
"13","0","1","65","deterministic","8572","101","89.99999999999999","6.904221075887088"
"14","0","1","65","deterministic","8411","101","89.99999999999999","4.492750121113368"
"17","0","1","70","deterministic","6500","101","90.00000000000001","5.323109272033687"
"15","0","1","65","deterministic","8843","101","90.00000000000001","2.665109093666168"
"18","0","1","70","deterministic","7966","101","89.99999999999999","9.180399314852133"
"20","0","1","70","deterministic","6374","101","90","9.86476803356059"
"21","0","1","75","deterministic","6445","101","89.99999999999999","4.961883455601079"
"19","0","1","70","deterministic","7304","101","90","6.421577175329537"
"22","0","1","75","deterministic","6352","101","90.00000000000001","1.8618957834969603"
"16","0","1","65","deterministic","9119","101","89.99999999999999","6.330838729816267"
"25","0","1","80","deterministic","6272","101","89.99999999999999","8.642918343902842"
"26","0","1","80","deterministic","6956","101","89.99999999999999","7.292326991837948"
"24","0","1","75","deterministic","7151","101","90","3.892792194401879"
"27","0","1","80","deterministic","6822","101","90.00000000000001","9.535753597842012"
"23","0","1","75","deterministic","7213","101","90.00000000000001","4.852554361957258"
"28","0","1","80","deterministic","6507","101","90","5.388776275598394"
"29","0","1","85","deterministic","5600","101","90.00000000000001","2.625496633705266"
"30","0","1","85","deterministic","6374","101","89.99999999999999","6.227999374864038"
"31","0","1","85","deterministic","6296","101","89.99999999999999","6.145070526266752"
"33","0","1","90","deterministic","5641","101","90.00000000000001","12.736863659111181"
"32","0","1","85","deterministic","6839","101","90","6.435121894480636"
"37","0","1","95","deterministic","4849","101","90","9.216660302004618"
"36","0","1","90","deterministic","6711","101","90.00000000000001","8.555360718245035"
"35","0","1","90","deterministic","6077","101","89.99999999999999","3.98140294260112"
"34","0","1","90","deterministic","6941","101","89.99999999999999","7.716324494876745"
"38","0","1","95","deterministic","5368","101","90","13.230880986174045"
"39","0","1","95","deterministic","5863","101","90.00000000000001","11.417219003472798"
"41","0","1","100","deterministic","4500","101","90.00000000000001","4.562406008580501"
"42","0","1","100","deterministic","4372","101","90.00000000000001","8.991938342222516"
"44","0","1","100","deterministic","4716","101","90.00000000000001","2.0773309992253677"
"40","0","1","95","deterministic","6114","101","89.99999999999999","14.22121539429577"
"45","0","1","105","deterministic","5138","101","90","8.605198550581967"
"47","0","1","105","deterministic","4726","101","90","13.046830568721427"
"46","0","1","105","deterministic","5350","101","90","8.3555696287851"
"43","0","1","100","deterministic","7236","101","89.99999999999999","1.1646049958559352"
"49","0","1","110","deterministic","4685","101","90","5.35682924673529"
"48","0","1","105","deterministic","5779","101","89.99999999999999","14.75648345957232"
"51","0","1","110","deterministic","4965","101","90","5.990982708953986"
"52","0","1","110","deterministic","4791","101","90.00000000000001","9.514936117248793"
"50","0","1","110","deterministic","6139","101","90.00000000000001","11.831361690129823"
"53","0","1","115","deterministic","4933","101","89.99999999999999","8.884688140421082"
"55","0","1","115","deterministic","4237","101","89.99999999999999","10.841949422606795"
"56","0","1","115","deterministic","4466","101","90.00000000000001","14.497707281411516"
"57","0","1","120","deterministic","4125","101","90","6.0703414147930985"
"54","0","1","115","deterministic","5938","101","90","9.386667971679774"
"58","0","1","120","deterministic","4577","101","90","4.9347969752589655"
"59","0","1","120","deterministic","4607","101","90.00000000000001","11.710157821515988"
"60","0","1","120","deterministic","5553","101","89.99999999999999","6.914325114490147"
"61","0","1","125","deterministic","5042","101","90.00000000000001","6.000937185222446"
"62","0","1","125","deterministic","5465","101","90","13.393867855354504"
"63","0","1","125","deterministic","5086","101","90","8.583090234007384"
"64","0","1","125","deterministic","4185","101","90.00000000000001","2.309406220928594"
"66","0","1","130","deterministic","4014","101","89.99999999999999","8.60126264424491"
"67","0","1","130","deterministic","3762","101","89.99999999999999","2.9795576418043748"
"68","0","1","130","deterministic","4103","101","90.00000000000001","3.394959982420758"
"69","0","1","135","deterministic","3827","101","90.00000000000001","6.024561098950751"
"65","0","1","130","deterministic","4745","101","90","9.016246843897823"
"70","0","1","135","deterministic","4823","101","90","8.81940087116606"
"71","0","1","135","deterministic","3893","101","90","8.055954801270587"
"72","0","1","135","deterministic","4757","101","90.00000000000001","8.330646698047198"
"73","0","1","140","deterministic","4257","101","90","10.07022909322048"
"74","0","1","140","deterministic","4131","101","89.99999999999999","9.921863760312682"
"76","0","1","140","deterministic","3973","101","90.00000000000001","11.13242821376059"
"77","0","1","145","deterministic","3972","101","90.00000000000001","4.859245609138753"
"75","0","1","140","deterministic","4571","101","90","4.293013829652426"
"79","0","1","145","deterministic","3403","101","89.99999999999999","15.040440598097883"
"78","0","1","145","deterministic","4656","101","90","9.505379723304232"
"80","0","1","145","deterministic","3348","101","90","15.661883028239272"
"81","0","1","150","deterministic","3201","101","90.00000000000001","8.7587236506257"
"87","0","1","155","deterministic","2938","101","89.99999999999999","15.84475727978102"
"85","0","1","155","deterministic","3397","101","90","13.922032244121729"
"82","0","1","150","deterministic","4200","101","90","2.1535789425226346"
"83","0","1","150","deterministic","4016","101","89.99999999999999","5.336552844004109"
"84","0","1","150","deterministic","4013","101","90","21.34294946083995"
"86","0","1","155","deterministic","3932","101","90","9.873736362026229"
"88","0","1","155","deterministic","3522","101","89.99999999999999","3.8926131458043045"
"89","0","1","160","deterministic","3313","101","90","10.755909672321462"
"91","0","1","160","deterministic","3813","101","89.99999999999999","4.419500566903603"
"90","0","1","160","deterministic","3642","101","89.99999999999999","13.869411499549951"
"93","0","1","165","deterministic","3990","101","90.00000000000001","6.892166068617648"
"92","0","1","160","deterministic","4745","101","90","8.35673005383911"
"94","0","1","165","deterministic","3424","101","89.99999999999999","5.274882446960719"
"95","0","1","165","deterministic","3819","101","90","11.71691761362889"
"96","0","1","165","deterministic","3210","101","90","11.95832950863008"
"97","0","1","170","deterministic","3420","101","90","17.725112881371118"
"101","0","1","175","deterministic","2703","101","90","22.731305822021614"
"100","0","1","170","deterministic","3522","101","89.99999999999999","6.820588550693517"
"99","0","1","170","deterministic","4065","101","90","22.482508242209764"
"98","0","1","170","deterministic","3964","101","90","4.818758059713402"
"103","0","1","175","deterministic","2957","101","90.00000000000001","7.953438548577605"
"102","0","1","175","deterministic","3158","101","90.00000000000001","22.962818433268435"
"105","0","1","180","deterministic","3529","101","90","12.580024212519797"
"107","0","1","180","deterministic","2725","101","90","4.0172463483025505"
"106","0","1","180","deterministic","3395","101","90","13.70853574344414"
"108","0","1","180","deterministic","3614","101","90","19.837906534735843"
"104","0","1","175","deterministic","4131","101","90","13.589664884058411"
"111","0","1","185","deterministic","2703","101","90","21.739372803294764"
"109","0","1","185","deterministic","3493","101","90.00000000000001","6.471008098673135"
"110","0","1","185","deterministic","3093","101","90","5.151621555083735"
"112","0","1","185","deterministic","2811","101","90","2.561154905373261"
"113","0","1","190","deterministic","2665","101","90","7.233182197212991"
"115","0","1","190","deterministic","3364","101","89.99999999999999","22.852381899213718"
"116","0","1","190","deterministic","2880","101","90.00000000000001","10.039907125158178"
"114","0","1","190","deterministic","3391","101","90.00000000000001","16.84665210240571"
"117","0","1","195","deterministic","2921","101","90","8.22034682512001"
"118","0","1","195","deterministic","2919","101","90","14.99016703458989"
"122","0","1","200","deterministic","3131","101","90","7.502888860872283"
"121","0","1","200","deterministic","2839","101","90.00000000000001","16.099377872028548"
"120","0","1","195","deterministic","2941","101","90","11.586201200328594"
"123","0","1","200","deterministic","2998","101","89.99999999999999","17.74205829772313"
"119","0","1","195","deterministic","3765","101","90","32.084985359347236"
"124","0","1","200","deterministic","2941","101","90.00000000000001","20.890156167567508"
"127","0","1","205","deterministic","2322","101","89.99999999999999","13.14255550426604"
"125","0","1","205","deterministic","2682","101","90","11.098038374854827"
"129","0","1","210","deterministic","2800","101","90.00000000000001","16.43522057780639"
"126","0","1","205","deterministic","3436","101","90","2.8171298577522985"
"130","0","1","210","deterministic","2814","101","90","16.24243285437098"
"128","0","1","205","deterministic","4121","101","90","22.7184972716827"
"131","0","1","210","deterministic","3332","101","90.00000000000001","5.9934114240406835"
"133","0","1","215","deterministic","2609","101","90","16.987713187296226"
"132","0","1","210","deterministic","2998","101","90","8.431135047741039"
"134","0","1","215","deterministic","2463","101","90","8.9246058076262"
"135","0","1","215","deterministic","2998","101","90.00000000000001","11.948334314505365"
"136","0","1","215","deterministic","2765","101","90","9.022787968766751"
"137","0","1","220","deterministic","2998","101","90","7.100514173734293"
"138","0","1","220","deterministic","2919","101","90","7.513787723370199"
"140","0","1","220","deterministic","2705","101","90.00000000000001","11.45433792309319"
"139","0","1","220","deterministic","2871","101","90","11.100634252070677"
"141","0","1","225","deterministic","2519","101","90","16.537251832462903"
"142","0","1","225","deterministic","2768","101","89.99999999999999","10.553367510933718"
"143","0","1","225","deterministic","3131","101","90","8.829114908925206"
"144","0","1","225","deterministic","2654","101","90","11.98470578435597"
"145","0","1","230","deterministic","2532","101","90","9.435487478315242"
"146","0","1","230","deterministic","2998","101","90.00000000000001","12.600450769753902"
"147","0","1","230","deterministic","2903","101","90","17.36389834458514"
"148","0","1","230","deterministic","2811","101","90","6.168610026467422"
"150","0","1","235","deterministic","2545","101","90","16.466653944735455"
"151","0","1","235","deterministic","2670","101","90","6.526048579281645"
"149","0","1","235","deterministic","2785","101","90","21.833269024373084"
"152","0","1","235","deterministic","2436","101","90.00000000000001","8.04047765616057"
"153","0","1","240","deterministic","2620","101","90","13.17643376950189"
"154","0","1","240","deterministic","2668","101","90","5.617553023429902"
"157","0","1","245","deterministic","1944","101","90.00000000000001","8.092663969943617"
"155","0","1","240","deterministic","2649","101","90","2.9340897158088746"
"156","0","1","240","deterministic","2512","101","90.00000000000001","8.77161544057664"
"158","0","1","245","deterministic","2367","101","90","15.92061389380281"
"159","0","1","245","deterministic","3178","101","89.99999999999999","15.490579817760809"
"160","0","1","245","deterministic","3219","101","90","20.386659761023566"
"161","0","1","250","deterministic","2694","101","90","10.097548040653946"
"163","0","1","250","deterministic","2464","101","90","9.306528063109859"
"162","0","1","250","deterministic","2922","101","90","8.323340876514361"
"164","0","1","250","deterministic","2720","101","90","28.701809848933706"
"165","0","1","255","deterministic","2800","101","90","12.608046141495704"
"166","0","1","255","deterministic","2237","101","90.00000000000001","24.572145574046036"
"167","0","1","255","deterministic","2806","101","89.99999999999999","19.534876760766334"
"170","0","1","260","deterministic","2076","101","90","15.407646126628176"
"169","0","1","260","deterministic","2554","101","90.00000000000001","11.00968267981863"
"168","0","1","255","deterministic","2749","101","90","16.256153003942867"
"172","0","1","260","deterministic","2436","101","90","10.126550871216148"
"171","0","1","260","deterministic","3072","101","90","9.129761930891547"
"173","0","1","265","deterministic","2520","101","90","1.661666660888678"
"174","0","1","265","deterministic","2485","101","90","14.949355020770895"
"176","0","1","265","deterministic","2201","101","89.99999999999999","4.768995578693802"
"177","0","1","270","deterministic","2292","101","90","26.00831270118151"
"175","0","1","265","deterministic","3039","101","90","9.183147835350884"
"178","0","1","270","deterministic","2732","101","90","5.211492742762483"
"180","0","1","270","deterministic","2217","101","90.00000000000001","8.604931233014193"
"179","0","1","270","deterministic","2399","101","90","16.01441409630685"
"181","0","1","275","deterministic","2361","101","90","7.026611335258996"
"182","0","1","275","deterministic","2547","101","90","6.573702566135193"
"183","0","1","275","deterministic","2479","101","90","23.386840193551553"
"186","0","1","280","deterministic","2084","101","90","3.495888102951147"
"185","0","1","280","deterministic","2037","101","90","14.977568429849468"
"187","0","1","280","deterministic","2089","101","90","0.71404084445127"
"184","0","1","275","deterministic","3201","101","90","10.14088092576618"
"188","0","1","280","deterministic","2263","101","90","9.522507305485561"
"189","0","1","285","deterministic","2345","101","90","19.839279470881596"
"190","0","1","285","deterministic","2408","101","90","17.772713085962227"
"192","0","1","285","deterministic","2156","101","90","11.63237359471916"
"191","0","1","285","deterministic","2998","101","90","14.30068868119959"
"193","0","1","290","deterministic","2207","101","90","11.560945035235957"
"194","0","1","290","deterministic","2305","101","90","6.004832416603376"
"195","0","1","290","deterministic","2147","101","90","11.278657531780146"
"196","0","1","290","deterministic","2436","101","90","10.035604184896371"
"199","0","1","295","deterministic","2436","101","89.99999999999999","6.98622361607848"
"200","0","1","295","deterministic","2222","101","90","2.5282972631664493"
"198","0","1","295","deterministic","2609","101","89.99999999999999","13.407381181106564"
"201","0","1","300","deterministic","2420","101","90","4.320213260762782"
"202","0","1","300","deterministic","2099","101","90","21.328072038360233"
"197","0","1","295","deterministic","2949","101","90","33.495181027215956"
"203","0","1","300","deterministic","2247","101","90","22.522994415649332"
"207","1","1","50","deterministic","8421","170","22.274011935463832","2.7834046320088004"
"205","1","1","50","deterministic","9206","127","14.636945347953242","8.207949676442295"
"204","0","1","300","deterministic","2632","101","90","8.553903096535313"
"206","1","1","50","deterministic","10686","125","14.935448924459203","3.325000828204109"
"208","1","1","50","deterministic","8254","402","45.791593533677286","7.9631935726197005"
"209","1","1","55","deterministic","7672","116","13.682711068709636","5.289057014967571"
"212","1","1","55","deterministic","8409","480","56.46839003597141","5.390871550768485"
"210","1","1","55","deterministic","7750","114","18.860921682011853","8.352121371647131"
"211","1","1","55","deterministic","9575","111","13.968983513843499","5.8748727031823025"
"213","1","1","60","deterministic","8091","543","64.7635302483846","8.273872484260782"
"214","1","1","60","deterministic","7993","470","55.14328260821047","9.063319714461546"
"216","1","1","60","deterministic","6917","402","46.20934569352991","15.587530260986968"
"217","1","1","65","deterministic","6195","118","18.69627091197669","11.313575497027408"
"215","1","1","60","deterministic","7905","481","56.44442343671449","10.14317331194999"
"219","1","1","65","deterministic","7244","134","16.80323850400948","5.339067697037017"
"220","1","1","65","deterministic","6737","101","11.234987612412649","4.054955812217101"
"221","1","1","70","deterministic","7529","118","12.267830868270353","10.14657187773847"
"223","1","1","70","deterministic","6213","493","58.085669970481526","9.202482869018564"
"222","1","1","70","deterministic","7059","138","17.075205028732473","7.4634379920970355"
"224","1","1","70","deterministic","7158","120","12.781618476663","15.295698928870362"
"218","1","1","65","deterministic","9373","115","15.547000221568908","6.051109275162749"
"225","1","1","75","deterministic","5902","101","10.656399382496225","14.092587818023324"
"227","1","1","75","deterministic","5728","551","65.60663897520071","9.448149878064774"
"226","1","1","75","deterministic","6918","587","70.18052737031392","11.266203403116732"
"228","1","1","75","deterministic","7678","107","16.994234611023334","9.067167168460603"
"229","1","1","80","deterministic","5659","129","13.707932167400893","7.775520549092079"
"231","1","1","80","deterministic","5614","162","18.22174848696504","10.922813883229878"
"230","1","1","80","deterministic","6675","468","54.91570773887776","15.910704465996904"
"233","1","1","85","deterministic","5593","111","11.768789779628937","19.777380080337142"
"232","1","1","80","deterministic","6843","499","59.56955373096048","6.299882966394519"
"234","1","1","85","deterministic","4864","117","11.831640203865133","12.200869026116491"
"236","1","1","85","deterministic","5643","434","50.08895370812712","2.6155805633406546"
"237","1","1","90","deterministic","5929","126","15.160318434232778","7.393435878344658"
"239","1","1","90","deterministic","5046","557","66.55557096351328","12.47198256484094"
"235","1","1","85","deterministic","6417","583","69.9251318772229","4.7281924445634465"
"238","1","1","90","deterministic","5396","430","49.355311901278284","14.096482043260774"
"240","1","1","90","deterministic","6852","403","45.58182910250664","13.71080007007088"
"241","1","1","95","deterministic","4474","140","19.424853904583333","6.394510126405536"
"243","1","1","95","deterministic","4540","111","12.596952917274331","4.37583980265392"
"242","1","1","95","deterministic","4893","175","20.043699500929335","9.447701025776542"
"245","1","1","100","deterministic","4220","418","48.883763970591716","11.141641913659777"
"244","1","1","95","deterministic","5422","119","15.333622559899005","6.350021082693994"
"247","1","1","100","deterministic","4076","115","12.727844353923281","11.581094851528222"
"246","1","1","100","deterministic","4777","403","45.84516694193565","9.44207349530529"
"248","1","1","100","deterministic","4829","101","12.43415661883957","4.466302001129812"
"249","1","1","105","deterministic","4591","108","13.063495026402755","18.857635518710858"
"250","1","1","105","deterministic","4840","145","15.717586657295008","6.007548076402362"
"251","1","1","105","deterministic","4591","115","14.182859130194874","4.905782183102913"
"252","1","1","105","deterministic","3865","568","67.71616089872238","12.263219200870509"
"253","1","1","110","deterministic","4453","590","70.60359374600418","12.181488622531147"
"255","1","1","110","deterministic","3731","101","10.914852479914586","6.279495454018209"
"254","1","1","110","deterministic","4634","115","11.041362321090801","6.000972585396382"
"256","1","1","110","deterministic","4141","117","13.346644709904583","6.0448447370509655"
"257","1","1","115","deterministic","4762","141","14.478847448644645","9.917353254238968"
"258","1","1","115","deterministic","4247","143","14.72120112855392","9.118670038077775"
"259","1","1","115","deterministic","4451","115","13.260750813494628","5.948883279379967"
"260","1","1","115","deterministic","4025","121","12.074846910275001","8.794745586610986"
"261","1","1","120","deterministic","3363","115","12.360365464169256","10.3362828357557"
"262","1","1","120","deterministic","3609","105","12.54316452575932","8.73102310801963"
"263","1","1","120","deterministic","3769","605","72.68091518622408","14.958701420554043"
"264","1","1","120","deterministic","3841","128","13.252708226856878","3.800473283609883"
"265","1","1","125","deterministic","3717","426","48.78130970749534","16.808817825387834"
"267","1","1","125","deterministic","3444","121","12.025840422357435","11.47771138350882"
"266","1","1","125","deterministic","3734","102","14.488083053560441","4.396972276149787"
"268","1","1","125","deterministic","4698","107","10.274874550419742","3.7575703352094427"
"269","1","1","130","deterministic","3831","448","51.992355891291844","8.06675901951993"
"271","1","1","130","deterministic","3432","570","68.14926450261751","8.316453523457632"
"270","1","1","130","deterministic","3391","456","53.44526660814659","9.542028949700885"
"272","1","1","130","deterministic","4314","447","51.570404770803734","7.555062580630149"
"274","1","1","135","deterministic","3322","103","11.063427144351976","8.412319278499519"
"273","1","1","135","deterministic","4261","418","47.64093651257413","6.6689382128067995"
"275","1","1","135","deterministic","3468","104","13.265700467624269","3.8066241099788036"
"277","1","1","140","deterministic","3192","486","56.80953491641888","7.560681747352196"
"278","1","1","140","deterministic","3551","588","70.30438274109002","2.0395542759173666"
"279","1","1","140","deterministic","3563","118","15.507081848659558","6.7089164070682274"
"276","1","1","135","deterministic","4370","103","10.793941736463704","6.649177010559449"
"280","1","1","140","deterministic","3598","467","54.52516313473329","6.189487849155923"
"281","1","1","145","deterministic","3369","103","11.474568505479429","8.493906240767684"
"282","1","1","145","deterministic","3246","471","55.00113722185863","4.839263588451189"
"285","1","1","150","deterministic","2907","117","17.331829173585533","10.517727499574546"
"284","1","1","145","deterministic","3365","115","15.157472569604014","8.919287515618814"
"283","1","1","145","deterministic","3960","459","53.013993192624525","7.101449879716674"
"286","1","1","150","deterministic","3144","403","46.02842844110855","13.960249736841273"
"288","1","1","150","deterministic","3210","464","54.320264981730446","15.453650401147613"
"290","1","1","155","deterministic","3366","104","11.801741645560865","9.262834833183943"
"292","1","1","155","deterministic","3034","122","13.61483940889023","10.716428647865877"
"289","1","1","155","deterministic","3365","112","10.858015236789832","12.748757411299724"
"291","1","1","155","deterministic","3278","115","13.768700091820083","13.682668604087386"
"287","1","1","150","deterministic","4514","145","14.437227448087746","5.171927621435358"
"295","1","1","160","deterministic","2697","123","12.231874552181608","6.7567041156966505"
"293","1","1","160","deterministic","3191","115","12.080859235032822","6.722300312951387"
"296","1","1","160","deterministic","2981","140","16.256355185296243","11.396749014317253"
"297","1","1","165","deterministic","2736","120","17.620747019671278","13.638106942341082"
"298","1","1","165","deterministic","3291","123","15.341986700038287","12.392216789867549"
"299","1","1","165","deterministic","2682","400","45.62864093647657","10.943668306551702"
"294","1","1","160","deterministic","4402","113","11.944037736012476","8.560556181228495"
"300","1","1","165","deterministic","3022","122","14.364235786325033","13.943259758165226"
"301","1","1","170","deterministic","3690","159","19.723354274211154","24.64296020939783"
"303","1","1","170","deterministic","2725","412","46.94396477427354","5.409080161613164"
"304","1","1","170","deterministic","3144","107","12.023541159988625","16.031816414786736"
"302","1","1","170","deterministic","4327","401","45.126403672639654","5.67995344357993"
"305","1","1","175","deterministic","2859","123","12.860271946848695","14.989661127656323"
"307","1","1","175","deterministic","2588","145","16.84674904498745","5.573778028569854"
"306","1","1","175","deterministic","2899","179","19.480227643706854","25.671280775232926"
"308","1","1","175","deterministic","2754","118","13.996558475407179","5.293728316124613"
"310","1","1","180","deterministic","2426","138","14.354562272611489","5.0037016635814755"
"311","1","1","180","deterministic","2788","115","11.3046532496394","6.628409780274928"
"309","1","1","180","deterministic","3197","122","13.170408254821151","12.421889924132556"
"313","1","1","185","deterministic","2336","115","10.571020219198171","5.750809514575511"
"312","1","1","180","deterministic","3567","555","65.62394845278835","17.543888661095433"
"315","1","1","185","deterministic","2383","400","46.14557810139284","8.52234427697354"
"316","1","1","185","deterministic","2411","102","9.786398083776273","15.52255008679975"
"314","1","1","185","deterministic","2892","117","12.364795572355378","17.783975145649638"
"317","1","1","190","deterministic","2543","401","45.932604078495615","14.269146341014459"
"320","1","1","190","deterministic","2293","140","13.42056985710692","10.090921720710865"
